"Time_Iter";"Outer_Iter";"Inner_Iter";    "rms[Rho]"    ;    "rms[RhoU]"   ;    "rms[RhoV]"   ;    "rms[RhoE]"   
          0;           0;         206;     -0,9771258761;       1,969396108;         1,5200955;       4,813172604
          0;           0;         207;      -0,956562389;       1,962012012;       1,629154935;       4,832401013
          0;           0;         208;     -0,9667944034;       1,982889114;       1,528682022;       4,821990885
          0;           0;         209;     -0,9318819929;       2,000446108;        1,63852358;        4,85511495
          0;           0;         210;     -0,9653548777;       1,980521132;       1,548883116;       4,824331975
          0;           0;         211;     -0,9473588338;       1,970105907;        1,64494645;       4,840928073
          0;           0;         212;     -0,9712142229;       1,965429559;        1,56307348;       4,819292262
          0;           0;         213;     -0,9484925346;       1,967902153;        1,64712852;        4,84031749
          0;           0;         214;     -0,9695943633;       1,965574256;       1,575938612;       4,821690121
          0;           0;         215;     -0,9454842729;       1,974567347;       1,650419108;       4,844309536
          0;           0;         216;     -0,9648836747;       1,974343461;       1,570820998;       4,825496575
          0;           0;         217;     -0,9599212303;       1,957911685;       1,628243312;       4,830260771
          0;           0;         218;     -0,9785443609;       1,963850414;       1,532784937;       4,812904498
          0;           0;         219;     -0,9515817074;       1,968442148;       1,640398609;       4,836528705
          0;           0;         220;     -0,9671314529;       1,986650301;       1,517093728;       4,821775043
          0;           0;         221;     -0,9510931386;       1,968982836;       1,630390171;       4,837036763
          0;           0;         222;     -0,9748697768;       1,962690934;        1,54181761;       4,814907069
          0;           0;         223;      -0,940349769;        1,97841521;       1,650151859;       4,848103537
          0;           0;         224;     -0,9573393917;        1,97848788;        1,59519665;        4,83353715
          0;           0;         225;     -0,9377534218;       1,977151877;       1,668669292;       4,850859497
          0;           0;         226;     -0,9685653252;       1,962968979;       1,580329886;       4,825620117
          0;           0;         227;     -0,9433934007;       1,973995273;       1,656365167;       4,848934566
          0;           0;         228;      -0,963891502;       1,976711851;       1,569237344;       4,828448005
          0;           0;         229;     -0,9428780851;       1,978172708;       1,650916427;       4,845812001
          0;           0;         230;     -0,9729019229;        1,97096658;       1,537611803;        4,81809931
          0;           0;         231;     -0,9591446262;       1,958576409;       1,625571772;        4,83132417
          0;           0;         232;     -0,9732610501;       1,974081022;        1,52710204;       4,817991861
          0;           0;         233;     -0,9582245176;       1,958948412;        1,63027037;       4,832336611
          0;           0;         234;     -0,9853225977;       1,956933045;       1,514471447;       4,806165003
          0;           0;         235;     -0,9627067407;        1,95244919;       1,621924994;       4,827527992
          0;           0;         236;     -0,9843143006;       1,955061254;       1,530879098;        4,80832557
          0;           0;         237;     -0,9219730584;       2,009795016;       1,645554008;       4,859438929
          0;           0;         238;     -0,9687444947;       1,968843064;       1,564086277;       4,820330986
          0;           0;         239;      -0,957633935;       1,955033914;       1,633566248;       4,832392792
          0;           0;         240;     -0,9769205604;       1,956706496;       1,561059281;       4,816111221
          0;           0;         241;     -0,9473186966;       1,969298846;       1,648801636;       4,841290516
          0;           0;         242;     -0,9660978109;       1,971650508;       1,573500557;       4,824012068
          0;           0;         243;     -0,9572634207;       1,962507573;       1,624658799;       4,832855225
          0;           0;         244;     -0,9831753942;       1,954741388;       1,532661241;        4,80858159
          0;           0;         245;     -0,9375237167;       1,993325228;        1,63157662;       4,847786805
          0;           0;         246;     -0,9659442955;       1,984872718;        1,53335075;       4,824103704
          0;           0;         247;     -0,9560751067;       1,968311244;        1,61597143;       4,833237064
          0;           0;         248;     -0,9735520886;       1,975550428;       1,509571065;       4,815346565
          0;           0;         249;     -0,9445382036;       1,983037265;       1,624978239;       4,842141309
          0;           0;         250;     -0,9631128316;       1,986296497;       1,531513291;       4,823719445
          0;           0;         251;     -0,9304756603;       1,999366463;       1,644368367;       4,854332701
          0;           0;         252;     -0,9828822687;       1,952069993;       1,538347034;       4,808989571
          0;           0;         253;     -0,9446106893;       1,975384143;       1,641160672;       4,843541758
          0;           0;         254;      -0,953681103;       1,988656129;       1,579675161;       4,834937304
          0;           0;         255;     -0,9438023287;        1,97187294;       1,657439188;       4,846882684
          0;           0;         256;     -0,9796093584;       1,949146527;       1,565703979;       4,814078443
          0;           0;         257;     -0,9549701667;       1,957091585;       1,642370475;       4,835598051
          0;           0;         258;      -0,971484027;       1,963184152;        1,56687281;       4,820547234
          0;           0;         259;     -0,9412216231;       1,981277872;       1,645434003;       4,845748952
          0;           0;         260;     -0,9727124094;       1,970866412;       1,536279159;        4,81824089
