"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          50,     -0.1403468704,       2.782909135,        1.98287436,       5.709474839,      -2.802745134
          0,           0,          51,     -0.2131369867,        2.70723052,       1.900937473,       5.637109881,      -2.816410584
          0,           0,          52,     -0.3035152162,       2.615297116,       1.795574313,       5.549102904,      -2.833004362
          0,           0,          53,     -0.4150862522,       2.503683929,       1.666235693,       5.442954505,      -2.848101648
          0,           0,          54,     -0.5610717004,       2.358695605,       1.536804342,       5.307722188,      -2.865595646
          0,           0,          55,     -0.7289754799,       2.191429118,       1.429862434,       5.153939311,      -2.888627032
          0,           0,          56,     -0.8999047716,       2.021491453,       1.348972582,       4.992128011,       -2.91744535
          0,           0,          57,      -1.055282323,       1.865862929,       1.291940767,        4.83421221,      -2.954055345
          0,           0,          58,      -1.180548747,       1.737270062,       1.237498296,       4.693019285,      -2.999682991
          0,           0,          59,      -1.269221127,       1.642154015,        1.17253715,       4.581790074,      -3.052931886
          0,           0,          60,      -1.335290324,       1.570034657,       1.093175466,       4.497082007,      -3.112453804
          0,           0,          61,      -1.398791776,       1.502319819,       1.004175856,       4.424275473,      -3.177341357
          0,           0,          62,       -1.47005038,        1.42793585,      0.9151935828,       4.351903858,      -3.248415807
          0,           0,          63,      -1.550900035,       1.344382893,      0.8351297512,       4.274270912,      -3.326711331
          0,           0,          64,      -1.637641923,       1.254989394,      0.7675576739,       4.192339833,      -3.412143335
          0,           0,          65,      -1.724370548,       1.165483352,      0.7098115397,       4.110010413,       -3.50270908
          0,           0,          66,      -1.805407516,       1.081557456,      0.6565420185,        4.03149349,      -3.594227157
