"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          68,       -0.77663692,        2.19549546,       1.408464099,       5.047071938
          0,           0,          69,     -0.7671843528,        2.21185881,       1.417826169,       5.046452802
          0,           0,          70,     -0.7177922241,       2.275534015,       1.467985698,       5.087675935
          0,           0,          71,     -0.7761341306,       2.196497803,       1.413360903,       5.047981867
          0,           0,          72,     -0.7904597551,       2.180861566,       1.415540675,       5.036051888
          0,           0,          73,       -0.77593431,       2.201670628,       1.403373803,        5.03867072
          0,           0,          74,      -0.776856908,       2.192431809,       1.390176555,        5.03571232
          0,           0,          75,     -0.7501037881,       2.232969276,       1.431843875,       5.068791307
          0,           0,          76,     -0.7819024423,       2.182789073,       1.377657462,       5.043009203
          0,           0,          77,     -0.7934662907,       2.170530457,       1.378482804,       5.027522005
          0,           0,          78,     -0.7865532305,       2.175747563,       1.401189047,        5.02812283
          0,           0,          79,     -0.7626305911,       2.208315761,       1.414497511,       5.055647257
